Customer ID: 999 | Total usage: 9000.0
Customer ID: 1001 | Total usage: 11130.0
Customer ID: 1002 | Total usage: 10160.0
Customer ID: 1003 | Total usage: 14280.0
Customer ID: 1004 | Total usage: 11760.0
Customer ID: 1005 | Total usage: 12735.0
Customer ID: 1006 | Total usage: 6580.0
Customer ID: 1007 | Total usage: 8450.0
Customer ID: 1008 | Total usage: 11065.0
Customer ID: 1009 | Total usage: 10195.0
Customer ID: 1010 | Total usage: 9310.0
Customer ID: 1011 | Total usage: 11480.0
Customer ID: 1012 | Total usage: 11385.0
Customer ID: 1013 | Total usage: 10450.0
Customer ID: 1014 | Total usage: 11935.0
Customer ID: 1016 | Total usage: 11450.0
Customer ID: 1017 | Total usage: 9835.0
Customer ID: 1018 | Total usage: 12505.0
Customer ID: 1019 | Total usage: 7595.0
Customer ID: 1020 | Total usage: 12005.0
Customer ID: 1021 | Total usage: 10645.0
Customer ID: 1022 | Total usage: 9880.0
Customer ID: 1023 | Total usage: 11470.0
Customer ID: 1024 | Total usage: 9240.0
Customer ID: 1025 | Total usage: 10740.0
Customer ID: 1026 | Total usage: 7350.0
Customer ID: 1027 | Total usage: 13075.0
Customer ID: 1028 | Total usage: 11205.0
Customer ID: 1029 | Total usage: 11615.0
Customer ID: 1030 | Total usage: 11300.0
Customer ID: 1031 | Total usage: 9800.0
Customer ID: 1032 | Total usage: 15000.0
